quarter,vader_full,vader_prepared,vader_qa,vader_pos,vader_neg,finbert_prepared,finbert_qa,finbert_prepared_label,finbert_qa_label,word_count,prepared_word_count,has_qa,quarter_idx,growth_signals_full,growth_signals_prepared,growth_signals_qa,caution_signals_full,caution_signals_prepared,caution_signals_qa,sssg_specific_full,sssg_specific_prepared,sssg_specific_qa,digital_full,digital_prepared,digital_qa,value_pricing_full,value_pricing_prepared,value_pricing_qa,gc_ratio,sssg_pct,sssg_pct_next,period_end,guidance_cut,sssg_miss,sssg_beat,finbert_gap,vader_gap
Q2 2023,0.287,0.361,0.239,0.129,0.013,0.434,0.094,positive,positive,6912,3166,True,0,8.68,12.63,5.73,3.18,2.84,3.72,2.17,2.21,2.29,4.63,7.26,2.58,2.46,1.9,3.15,4.445617740232313,18.2,14.1,2023-07-09,0,0,0,-0.33999999999999997,-0.122
Q3 2023,0.298,0.358,0.276,0.131,0.01,0.481,0.128,positive,positive,8172,2872,True,1,8.69,14.28,5.96,3.18,2.44,3.78,2.45,3.83,1.79,1.96,1.39,2.39,2.81,1.39,3.78,5.850061450225318,14.1,11.4,2023-10-01,0,0,0,-0.353,-0.08199999999999996
Q4 2023,0.3,0.368,0.268,0.126,0.01,0.422,0.0,positive,neutral,8314,3234,True,2,9.38,16.08,5.43,1.44,2.47,0.84,1.68,2.16,1.46,2.65,1.86,3.34,2.65,3.71,2.09,6.507486847430189,11.4,2.3,2023-12-31,0,0,0,-0.422,-0.09999999999999998
Q1 2024,0.261,0.337,0.226,0.106,0.012,0.567,0.122,positive,positive,8974,3349,True,3,8.69,12.54,6.75,1.45,2.39,0.94,2.01,3.88,0.94,3.23,3.88,3.0,2.67,2.69,2.81,5.244667503136762,2.3,14.4,2024-04-21,0,1,0,-0.44499999999999995,-0.11100000000000002
Q2 2024,0.304,0.327,0.299,0.131,0.01,0.497,0.097,positive,positive,10369,3785,True,4,9.26,13.21,7.32,1.45,3.17,0.48,2.12,2.64,1.91,2.12,2.11,2.23,3.95,5.28,3.34,4.165878271838538,14.4,18.1,2024-07-14,0,0,0,-0.4,-0.028000000000000025
Q3 2024,0.32,0.344,0.315,0.135,0.011,0.72,0.079,positive,positive,6886,2939,True,5,10.46,14.97,7.65,1.31,3.06,0.0,1.6,1.36,1.91,2.32,3.4,1.64,1.6,2.38,1.09,4.890558640967004,18.1,21.2,2024-10-06,0,0,1,-0.641,-0.02899999999999997
Q4 2024,0.318,0.378,0.296,0.137,0.012,0.61,0.115,positive,positive,9517,3560,True,6,9.46,16.57,5.49,0.74,1.69,0.18,2.0,3.09,1.42,4.1,5.9,3.19,3.57,2.81,4.25,9.798935541099942,21.2,10.8,2024-12-29,0,0,1,-0.495,-0.08200000000000002
Q1 2025,0.289,0.36,0.253,0.125,0.014,0.538,0.089,positive,positive,7803,3161,True,7,10.51,14.24,8.46,2.69,4.11,1.83,1.03,2.21,0.23,2.31,4.11,1.14,2.18,1.27,2.97,3.463877402091948,10.8,2.1,2025-04-20,0,0,0,-0.44900000000000007,-0.10699999999999998
Q2 2025,0.3,0.393,0.262,0.128,0.014,0.716,0.072,positive,positive,10446,3685,True,8,7.37,11.4,5.45,2.49,2.99,2.34,2.78,2.99,2.8,4.02,5.97,3.11,2.11,0.81,2.96,3.8114343029087263,2.1,1.9,2025-07-13,1,1,0,-0.644,-0.131
Q3 2025,0.287,0.34,0.269,0.121,0.014,0.679,0.141,positive,positive,10641,3284,True,9,7.33,13.09,5.0,4.23,5.79,3.71,2.16,3.35,1.71,3.76,4.26,3.71,3.38,1.83,4.28,2.260404075289242,1.9,0.5,2025-10-05,1,1,0,-0.538,-0.07100000000000001
Q4 2025,0.317,0.364,0.299,0.123,0.009,0.55,0.063,positive,positive,10611,3377,True,10,7.54,13.62,4.95,1.79,2.37,1.6,2.17,2.67,2.04,3.77,3.26,4.22,1.88,3.55,1.17,5.74441164065795,0.5,,2025-12-28,0,1,0,-0.48700000000000004,-0.065
