quarter,period_end,revenue_m,sssg_pct,auv_in_thousands,restaurant_margin_pct,restaurant_count,net_new_openings,digital_revenue_mix_pct,adj_ebitda_margin_pct,weeks_in_period,weekly_revenue_m
Q2 2022,2022-07-10,135.9,13.3,2399,22.1,195,18,33.9,4.3,12,11.325000000000001
Q3 2022,2022-10-02,139.3,9.2,2383,21.7,214,19,32.9,3.5,12,11.608333333333334
Q4 2022,2023-01-01,123.0,14.8,2398,20.0,237,23,34.5,2.7,12,10.25
Q1 2023,2023-04-16,196.8,28.4,2547,25.4,263,26,36.6,8.2,16,12.3
Q2 2023,2023-07-09,172.9,18.2,2599,26.1,279,16,36.1,12.5,12,14.408333333333333
Q3 2023,2023-10-01,175.6,14.1,2640,25.1,290,11,35.5,11.3,12,14.633333333333333
Q4 2023,2023-12-31,177.2,11.4,2639,22.4,309,19,35.9,8.9,13,13.63076923076923
Q1 2024,2024-04-21,259.0,2.3,2608,25.2,323,14,37.0,12.9,16,16.1875
Q2 2024,2024-07-14,233.5,14.4,2689,26.5,341,18,35.8,14.7,12,19.458333333333332
Q3 2024,2024-10-06,243.8,18.1,2784,25.6,352,11,35.8,13.7,12,20.316666666666666
Q4 2024,2024-12-29,227.4,21.2,2865,22.4,367,15,36.8,11.0,12,18.95
Q1 2025,2025-04-20,331.8,10.8,2933,25.1,382,15,38.0,13.5,16,20.7375
Q2 2025,2025-07-13,280.6,2.1,2939,26.3,398,16,37.3,15.0,12,23.383333333333336
Q3 2025,2025-10-05,292.2,1.9,2935,24.6,415,17,37.6,13.7,12,24.349999999999998
Q4 2025,2025-12-28,275.0,0.5,2934,21.4,439,24,38.9,9.4,12,22.916666666666668
